Transaction,Polozky
1,PecivoNesl
2,PecivoNesl
2,PecivoNesl
3,Napoje
3,OstatnePolozky
3,Sladkosti
4,Sladkosti
5,Napoje
5,OstatnePolozky
5,PecivoNesl
6,Sladkosti
6,OstatnePolozky
6,Sladkosti
7,Sladkosti
7,OstatnePolozky
7,Napoje
7,Napoje
8,OstatnePolozky
8,PecivoNesl
9,PecivoNesl
9,Sladkosti
10,PecivoNesl
10,Sladkosti
11,PecivoNesl
11,Sladkosti
11,PecivoNesl
11,OstatnePolozky
12,OstatnePolozky
12,Napoje
12,OstatnePolozky
12,OstatnePolozky
12,Napoje
13,OstatnePolozky
13,PecivoNesl
13,Napoje
14,PecivoNesl
14,Sladkosti
14,OstatnePolozky
15,OstatnePolozky
15,OstatnePolozky
15,Napoje
15,PecivoNesl
16,PecivoNesl
16,Sladkosti
16,Napoje
17,Napoje
18,OstatnePolozky
19,OstatnePolozky
19,PecivoNesl
20,PecivoNesl
20,Sladkosti
21,Napoje
21,Napoje
21,Sladkosti
21,PecivoNesl
22,OstatnePolozky
23,PecivoNesl
23,Sladkosti
24,PecivoNesl
25,PecivoNesl
26,OstatnePolozky
27,PecivoNesl
28,Napoje
28,PecivoNesl
29,PecivoNesl
29,OstatnePolozky
29,OstatnePolozky
30,PecivoNesl
31,OstatnePolozky
32,PecivoNesl
32,Sladkosti
33,Napoje
34,Napoje
34,Sladkosti
35,Sladkosti
35,PecivoNesl
36,Napoje
36,PecivoNesl
37,Napoje
37,PecivoNesl
37,OstatnePolozky
38,PecivoNesl
38,Napoje
39,PecivoNesl
40,Napoje
40,OstatnePolozky
40,OstatnePolozky
40,Napoje
40,Sladkosti
41,PecivoNesl
42,PecivoNesl
42,Napoje
43,PecivoNesl
43,OstatnePolozky
44,Napoje
44,Sladkosti
45,Napoje
45,Napoje
45,Sladkosti
46,Napoje
47,Napoje
47,Napoje
47,PecivoNesl
47,Sladkosti
47,OstatnePolozky
48,Napoje
49,Napoje
49,Napoje
49,Sladkosti
50,PecivoNesl
50,Sladkosti
51,PecivoNesl
52,PecivoNesl
54,PecivoNesl
55,OstatnePolozky
55,Napoje
55,Napoje
55,OstatnePolozky
56,Napoje
56,OstatnePolozky
57,PecivoNesl
58,Sladkosti
58,Napoje
58,Napoje
58,Napoje
59,Napoje
59,OstatnePolozky
60,Sladkosti
60,Napoje
60,Napoje
60,Napoje
61,Napoje
62,Sladkosti
62,OstatnePolozky
62,OstatnePolozky
62,Napoje
62,Napoje
62,Napoje
63,Napoje
64,Sladkosti
65,OstatnePolozky
65,OstatnePolozky
65,OstatnePolozky
65,Napoje
65,Napoje
66,OstatnePolozky
66,OstatnePolozky
66,Napoje
67,OstatnePolozky
67,OstatnePolozky
67,Napoje
67,Sladkosti
68,OstatnePolozky
68,Napoje
68,Napoje
68,PecivoNesl
68,OstatnePolozky
69,PecivoNesl
69,Napoje
69,Sladkosti
70,OstatnePolozky
71,Sladkosti
72,Napoje
72,PecivoNesl
73,PecivoNesl
74,Napoje
74,PecivoNesl
75,OstatnePolozky
75,OstatnePolozky
75,OstatnePolozky
76,Napoje
77,PecivoNesl
78,OstatnePolozky
79,OstatnePolozky
79,Napoje
79,Napoje
79,Sladkosti
80,OstatnePolozky
80,PecivoNesl
80,Napoje
121,Napoje
119,Napoje
119,Sladkosti
120,OstatnePolozky
119,Napoje
121,PecivoNesl
126,Napoje
124,Napoje
125,Napoje
122,Sladkosti
123,OstatnePolozky
123,OstatnePolozky
123,Napoje
123,Napoje
123,Napoje
124,Napoje
126,OstatnePolozky
128,OstatnePolozky
95,Napoje
88,OstatnePolozky
89,PecivoNesl
90,PecivoNesl
127,OstatnePolozky
91,Napoje
91,OstatnePolozky
92,Napoje
93,PecivoNesl
93,Napoje
148,Napoje
149,Napoje
150,PecivoNesl
151,Napoje
151,Napoje
154,OstatnePolozky
154,OstatnePolozky
154,Napoje
154,Napoje
155,Napoje
155,Sladkosti
155,PecivoNesl
156,Napoje
156,Sladkosti
157,Napoje
157,PecivoNesl
90,Napoje
94,Napoje
94,Napoje
148,Napoje
152,Sladkosti
153,Napoje
153,Napoje
153,Sladkosti
153,Sladkosti
128,OstatnePolozky
128,Napoje
128,Napoje
82,OstatnePolozky
82,PecivoNesl
83,Napoje
83,PecivoNesl
88,Napoje
142,Sladkosti
143,Napoje
144,Napoje
144,OstatnePolozky
145,Napoje
145,Napoje
145,OstatnePolozky
146,PecivoNesl
147,OstatnePolozky
147,Napoje
148,OstatnePolozky
102,OstatnePolozky
103,OstatnePolozky
103,PecivoNesl
104,Napoje
104,Napoje
104,Sladkosti
104,Sladkosti
104,Napoje
105,Napoje
105,Napoje
81,Napoje
81,Sladkosti
82,OstatnePolozky
84,PecivoNesl
85,Napoje
85,Napoje
85,OstatnePolozky
85,Sladkosti
86,Napoje
87,PecivoNesl
88,Napoje
162,Sladkosti
108,OstatnePolozky
108,Sladkosti
109,PecivoNesl
109,Sladkosti
109,OstatnePolozky
110,OstatnePolozky
111,Napoje
112,Napoje
113,Napoje
113,Sladkosti
114,OstatnePolozky
115,PecivoNesl
116,Napoje
117,Sladkosti
117,Sladkosti
117,Napoje
117,Sladkosti
118,Sladkosti
118,Sladkosti
118,Napoje
118,OstatnePolozky
141,PecivoNesl
142,Napoje
98,OstatnePolozky
99,OstatnePolozky
99,OstatnePolozky
99,Napoje
99,PecivoNesl
100,PecivoNesl
101,Napoje
101,OstatnePolozky
105,OstatnePolozky
105,Sladkosti
106,Napoje
106,Napoje
106,OstatnePolozky
106,OstatnePolozky
107,Napoje
107,Napoje
129,Napoje
129,Napoje
129,Sladkosti
135,PecivoNesl
136,Napoje
136,Napoje
158,Napoje
158,Sladkosti
159,PecivoNesl
159,Napoje
159,Sladkosti
160,Napoje
160,Sladkosti
161,Napoje
130,Napoje
130,Napoje
134,OstatnePolozky
137,OstatnePolozky
138,Napoje
138,OstatnePolozky
138,Napoje
139,PecivoNesl
139,Sladkosti
139,OstatnePolozky
140,Napoje
140,Napoje
140,Sladkosti
95,OstatnePolozky
95,OstatnePolozky
96,OstatnePolozky
96,OstatnePolozky
96,Napoje
96,Napoje
97,Napoje
97,OstatnePolozky
97,Napoje
130,Sladkosti
163,Napoje
163,Napoje
164,Napoje
164,Sladkosti
165,Napoje
166,Napoje
133,OstatnePolozky
133,Napoje
134,OstatnePolozky
134,Napoje
131,PecivoNesl
131,Napoje
132,Sladkosti
132,Sladkosti
132,Napoje
132,Napoje
166,Sladkosti
167,PecivoNesl
170,Napoje
176,Napoje
175,PecivoNesl
176,Sladkosti
167,OstatnePolozky
167,PecivoNesl
167,Napoje
168,Napoje
168,Napoje
169,Napoje
171,Napoje
171,Napoje
172,PecivoNesl
172,Napoje
173,PecivoNesl
173,Sladkosti
174,Napoje
187,PecivoNesl
188,Napoje
189,PecivoNesl
178,Napoje
178,OstatnePolozky
179,Napoje
180,Napoje
189,Napoje
245,Sladkosti
246,Napoje
246,PecivoNesl
247,Sladkosti
247,Napoje
247,Napoje
247,Napoje
247,Napoje
248,Napoje
248,Napoje
248,Napoje
249,Napoje
250,Sladkosti
251,Napoje
251,Sladkosti
252,PecivoNesl
252,OstatnePolozky
253,PecivoNesl
254,Sladkosti
179,OstatnePolozky
180,OstatnePolozky
181,Napoje
181,Napoje
182,OstatnePolozky
182,OstatnePolozky
182,Napoje
183,OstatnePolozky
184,OstatnePolozky
184,OstatnePolozky
184,Napoje
185,Napoje
185,Sladkosti
186,Napoje
186,OstatnePolozky
205,OstatnePolozky
206,PecivoNesl
206,Napoje
206,OstatnePolozky
207,OstatnePolozky
207,Napoje
207,Sladkosti
208,PecivoNesl
209,Napoje
210,PecivoNesl
211,Napoje
211,Napoje
212,Napoje
212,Sladkosti
212,OstatnePolozky
213,PecivoNesl
214,PecivoNesl
214,Napoje
214,Napoje
215,OstatnePolozky
215,Napoje
216,OstatnePolozky
216,Napoje
217,PecivoNesl
217,Sladkosti
218,PecivoNesl
219,OstatnePolozky
220,PecivoNesl
220,OstatnePolozky
221,PecivoNesl
221,PecivoNesl
222,PecivoNesl
223,Sladkosti
223,Napoje
224,Napoje
225,Napoje
225,Napoje
225,Napoje
226,Sladkosti
227,Napoje
227,PecivoNesl
227,Napoje
228,Napoje
