Date,Time,Transaction,Item,Dni,Ind,hms.Hodiny..hour,hms.Hodiny..minute,Mesiace,Roky,Polozky
2016-10-30,09:58:11,1,Bread,Nedela,7,9,58,10,2016,PecivoNesl
2016-10-30,10:05:34,2,Scandinavian,Nedela,7,10,5,10,2016,PecivoNesl
2016-10-30,10:05:34,2,Scandinavian,Nedela,7,10,5,10,2016,PecivoNesl
2016-10-30,10:07:57,3,Hot chocolate,Nedela,7,10,7,10,2016,Napoje
2016-10-30,10:07:57,3,Jam,Nedela,7,10,7,10,2016,OstatnePolozky
2016-10-30,10:07:57,3,Cookies,Nedela,7,10,7,10,2016,Sladkosti
2016-10-30,10:08:41,4,Muffin,Nedela,7,10,8,10,2016,Sladkosti
2016-10-30,10:13:03,5,Coffee,Nedela,7,10,13,10,2016,Napoje
2016-10-30,10:13:03,5,Pastry,Nedela,7,10,13,10,2016,OstatnePolozky
2016-10-30,10:13:03,5,Bread,Nedela,7,10,13,10,2016,PecivoNesl
2016-10-30,10:16:55,6,Medialuna,Nedela,7,10,16,10,2016,Sladkosti
2016-10-30,10:16:55,6,Pastry,Nedela,7,10,16,10,2016,OstatnePolozky
2016-10-30,10:16:55,6,Muffin,Nedela,7,10,16,10,2016,Sladkosti
2016-10-30,10:19:12,7,Medialuna,Nedela,7,10,19,10,2016,Sladkosti
2016-10-30,10:19:12,7,Pastry,Nedela,7,10,19,10,2016,OstatnePolozky
2016-10-30,10:19:12,7,Coffee,Nedela,7,10,19,10,2016,Napoje
2016-10-30,10:19:12,7,Tea,Nedela,7,10,19,10,2016,Napoje
2016-10-30,10:20:51,8,Pastry,Nedela,7,10,20,10,2016,OstatnePolozky
2016-10-30,10:20:51,8,Bread,Nedela,7,10,20,10,2016,PecivoNesl
2016-10-30,10:21:59,9,Bread,Nedela,7,10,21,10,2016,PecivoNesl
2016-10-30,10:21:59,9,Muffin,Nedela,7,10,21,10,2016,Sladkosti
2016-10-30,10:25:58,10,Scandinavian,Nedela,7,10,25,10,2016,PecivoNesl
2016-10-30,10:25:58,10,Medialuna,Nedela,7,10,25,10,2016,Sladkosti
2016-10-30,10:27:21,11,Bread,Nedela,7,10,27,10,2016,PecivoNesl
2016-10-30,10:27:21,11,Medialuna,Nedela,7,10,27,10,2016,Sladkosti
2016-10-30,10:27:21,11,Bread,Nedela,7,10,27,10,2016,PecivoNesl
2016-10-30,10:27:21,11,NONE,Nedela,7,10,27,10,2016,OstatnePolozky
2016-10-30,10:30:14,12,Jam,Nedela,7,10,30,10,2016,OstatnePolozky
2016-10-30,10:30:14,12,Coffee,Nedela,7,10,30,10,2016,Napoje
2016-10-30,10:30:14,12,Tartine,Nedela,7,10,30,10,2016,OstatnePolozky
2016-10-30,10:30:14,12,Pastry,Nedela,7,10,30,10,2016,OstatnePolozky
2016-10-30,10:30:14,12,Tea,Nedela,7,10,30,10,2016,Napoje
2016-10-30,10:31:24,13,Basket,Nedela,7,10,31,10,2016,OstatnePolozky
2016-10-30,10:31:24,13,Bread,Nedela,7,10,31,10,2016,PecivoNesl
2016-10-30,10:31:24,13,Coffee,Nedela,7,10,31,10,2016,Napoje
2016-10-30,10:32:46,14,Bread,Nedela,7,10,32,10,2016,PecivoNesl
2016-10-30,10:32:46,14,Medialuna,Nedela,7,10,32,10,2016,Sladkosti
2016-10-30,10:32:46,14,Pastry,Nedela,7,10,32,10,2016,OstatnePolozky
2016-10-30,10:34:36,15,NONE,Nedela,7,10,34,10,2016,OstatnePolozky
2016-10-30,10:34:36,15,NONE,Nedela,7,10,34,10,2016,OstatnePolozky
2016-10-30,10:34:36,15,Mineral water,Nedela,7,10,34,10,2016,Napoje
2016-10-30,10:34:36,15,Scandinavian,Nedela,7,10,34,10,2016,PecivoNesl
2016-10-30,10:37:08,16,Bread,Nedela,7,10,37,10,2016,PecivoNesl
2016-10-30,10:37:08,16,Medialuna,Nedela,7,10,37,10,2016,Sladkosti
2016-10-30,10:37:08,16,Coffee,Nedela,7,10,37,10,2016,Napoje
2016-10-30,10:38:04,17,Hot chocolate,Nedela,7,10,38,10,2016,Napoje
2016-10-30,10:41:56,18,Farm House,Nedela,7,10,41,10,2016,OstatnePolozky
2016-10-30,10:43:08,19,Farm House,Nedela,7,10,43,10,2016,OstatnePolozky
2016-10-30,10:43:08,19,Bread,Nedela,7,10,43,10,2016,PecivoNesl
2016-10-30,10:45:22,20,Bread,Nedela,7,10,45,10,2016,PecivoNesl
2016-10-30,10:45:22,20,Medialuna,Nedela,7,10,45,10,2016,Sladkosti
2016-10-30,10:49:29,21,Coffee,Nedela,7,10,49,10,2016,Napoje
2016-10-30,10:49:29,21,Coffee,Nedela,7,10,49,10,2016,Napoje
2016-10-30,10:49:29,21,Medialuna,Nedela,7,10,49,10,2016,Sladkosti
2016-10-30,10:49:29,21,Bread,Nedela,7,10,49,10,2016,PecivoNesl
2016-10-30,10:52:15,22,Jam,Nedela,7,10,52,10,2016,OstatnePolozky
2016-10-30,10:53:49,23,Scandinavian,Nedela,7,10,53,10,2016,PecivoNesl
